DARPA_1	DARPA_10	DARPA_11	DARPA_12	DARPA_13	DARPA_14	DARPA_15	DARPA_16	DARPA_17	DARPA_18	DARPA_19	DARPA_2	DARPA_20	DARPA_3	DARPA_31	DARPA_32	DARPA_33	DARPA_34	DARPA_35	DARPA_36
21.697	22.017	20.928	19.571	22.585	24.0	21.446	17.579	18.79079	17.181	20.444	18.645645	23.507	19.865	17.841	18.906	17.848	17.553553	17.652	20.714
21.841	22.087	21.011	19.721	22.646	24.143	21.57	17.693	18.912912	17.218	20.52	18.73073	23.623	20.016	17.923	19.016	17.952	17.588589	17.746	20.865
21.921	22.167	21.074	19.786	22.775	24.196	21.713	17.742	18.990992	17.266	20.583	18.745747	23.701	20.137	17.976	19.083	18.055	17.628628	17.834	20.925
22.002	22.287	21.215	19.897	22.837	24.345	21.818	17.833	19.088089	17.342	20.65	18.851852	23.802	20.241	18.069	19.134	18.183	17.721722	17.941	21.02
22.11	22.446	21.317	19.971	22.962	24.52	21.957	17.953	19.155155	17.424	20.77	18.94094	23.924	20.336	18.199	19.234	18.237	17.80881	18.044	21.123
22.299	22.583	21.513	20.087	23.027	24.696	22.15	18.118	19.268269	17.535	20.834	19.047047	24.0	20.467	18.257	19.364	18.325	17.900902	18.135	21.184
22.402	22.734	21.652	20.172	23.273	24.844	22.337	18.231	19.37938	17.625	20.985	19.204205	24.108	20.617	18.4	19.452	18.446	17.956957	18.225	21.281
22.532	22.888	21.767	20.312	23.386	25.038	22.484	18.343	19.467468	17.752	21.052	19.287287	24.203	20.713	18.513	19.521	18.497	18.061062	18.315	21.367
22.641	23.021	21.905	20.386	23.52	25.14	22.605	18.472	19.566566	17.83	21.18	19.38038	24.365	20.765	18.614	19.655	18.575	18.164164	18.408	21.464
22.79	23.1	21.988	20.453	23.683	25.256	22.747	18.576	19.668669	17.898	21.208	19.445446	24.482	20.839	18.659	19.784	18.632	18.257257	18.481	21.542
22.916	23.217	22.054	20.522	23.788	25.405	22.842	18.663	19.754755	18.025	21.29	19.556557	24.522	20.946	18.726	19.833	18.704	18.321321	18.574	21.66
23.018	23.289	22.151	20.628	23.827	25.569	22.964	18.761	19.830832	18.053	21.356	19.651651	24.669	20.996	18.846	19.942	18.787	18.358358	18.647	21.754
23.101	23.35	22.261	20.743	23.951	25.689	23.075	18.857	19.882883	18.143	21.479	19.792793	24.773	21.106	18.883	20.062	18.886	18.37037	18.734	21.815
