PID4413_Tumor_RNA		PID4418_Tumor_insulinoma_RNA		PID4447_Tumor_RNA		PID4468_Tumor_MTC_RNA		PID4596_13006_Tumor_RNA		PT087_Primary_RNA		PT087_Recurrent_RNA		PT165_Primary_RNA		PT165_Recurrent_RNA		PT208_P1_Tumor_RNA		PT208_P2_Tumor_RNA		PT211_S1_Tumor_RNA		PT211_S2_Tumor_RNA		PT218_Primary_RNA	
53.923		59.355354		70.311		147.121		72.24425		20.946947		20.796		14.877		13.395792		97.259		160.754		59.29		36.764		10.566	
54.483		59.96096		71.351		148.541		73.02903		21.23023		21.047		15.061		13.517035		98.789		162.395		59.897		37.113		10.713	
55.123		60.550552		72.172		149.84485		73.703705		21.44945		21.295		15.237		13.62024		99.865		163.96		60.525		37.526		10.801802	
55.692		61.191193		73.011		150.93494		74.343346		21.636637		21.572		15.455		13.773547		100.988		165.819		61.192		37.979		10.912913	
56.274		61.725727		73.745		152.12112		74.86186		21.848848		21.773		15.633		13.945891		102.128		167.058		61.676		38.387		11.025025	
56.939		62.053055		74.539		153.22623		75.28128		22.108109		21.958		15.721		14.06513		103.2		168.182		62.177		38.792		11.094094	
57.536		62.637638		75.478		154.26427		75.55055		22.303303		22.154		15.839		14.18537		104.011		169.436		62.764		39.065		11.253253	
58.168		63.0991		76.027		155.11511		75.73573		22.48048		22.268		15.96		14.3266535		105.241		170.637		63.277		39.489		11.293293	
58.768		63.525524		76.042046		155.65366		75.97298		22.675676		22.496		16.146		14.447896		105.988		172.079		63.75		39.795		11.374374	
59.248		64.0991		76.74775		156.33234		76.14615		22.788788		22.667		16.241		14.562124		106.877		173.022		64.257		40.015		11.455456	
59.755		64.52152		77.15916		156.43845		76.17217		22.928928		22.848		16.381		14.704409		107.496		173.924		64.365		40.282		11.52953	
60.25		64.85185		77.685684		157.35135		76.2042		23.152153		22.951		16.542		14.824649		108.11		174.803		64.744		40.455		11.64965	
60.826		65.21221		78.04805		157.85986		76.218216		23.364365		23.118		16.692		14.981964		108.854		175.607		65.041		40.715		11.623624	
61.307		65.64865		78.52452		158.77277		76.11511		23.462463		23.234		16.89		15.077154		109.561		176.486		65.122		40.762		11.655656	
61.798		66.05605		78.839836		159.38939		76.2022		23.636637		23.332		17.035		15.161323		110.223		176.86		65.279		40.931		11.674675	
62.289		66.653656		79.21021		160.55255		76.21021		23.816816		23.516		17.195		15.293587		110.788		177.826		65.407		41.068		11.790791	
62.6		66.85085		79.587585		161.38239		76.199196		24.055056		23.626		17.355		15.386773		111.612		178.598		65.598		41.245		11.904905	
63.065		67.343346		79.84785		162.06807		76.04604		24.235235		23.756		17.449		15.466934		112.104		179.127		65.727		41.283		11.9239235	
63.477		67.78378		80.33233		162.34235		75.94395		24.381382		23.991		17.561		15.602204		112.942		179.337		65.981		41.467		12.029029	
64.052		68.054054		80.682686		162.93593		75.84184		24.544544		24.086		17.653		15.684369		113.293		178.923		65.923		41.618		12.07007	
64.627		68.45545		81.023026		163.38338		75.685684		24.704704		24.259		17.808		15.681363		113.861		179.129		66.0		41.63		12.103103	
64.971		68.761765		81.062065		163.75175		75.673676		24.832832		24.402		17.892		15.759519		114.141		179.456		65.982		41.75		12.118118	
65.247		69.15515		81.868866		164.12512		75.64264		25.042042		24.503		17.975		15.896793		114.635		179.734		66.008		41.907		12.189189	
65.581		69.31832		82.403404		164.81982		75.771774		25.232233		24.69		18.069		15.956914		114.978		179.693		65.991		42.074		12.241241	
65.87		69.723724		83.1041		166.01102		75.80681		25.453453		24.839		18.133133		16.054108		115.587		180.176		66.179		42.134		12.331331	
66.295		69.973976		83.76677		167.43443		76.05706		25.553553		24.924		18.243244		16.186373		116.165		180.632		66.397		42.265		12.43043	
66.808		70.52152		84.451454		168.55055		76.26026		25.737738		25.084		18.34935		16.314629		116.746		180.881		66.385		42.458		12.512512	
67.222		70.79379		84.88689		169.68568		76.35035		25.996998		25.217		18.456457		16.422846		117.389		181.27		66.745		42.691		12.593594	
67.74		71.04705		85.42843		170.64264		76.63163		26.179178		25.395		18.5005		16.54509		118.163		181.802		67.037		42.929		12.666667	
68.009		71.352356		86.13213		171.97298		76.64164		26.355356		25.503		18.611612		16.646292		118.806		182.635		67.7		43.005		12.786787	
68.3		71.94495		85.78679		173.05005		76.86286		26.477478		25.666		18.74074		16.754509		119.29		183.078		67.336		43.222		12.881882	
68.615		72.256256		86.34835		173.32433		76.82583		26.624624		25.7		18.817818		16.846693		120.057		183.845		67.574		43.449		12.921922	
69.122		72.724724		87.10711		174.51451		77.05806		26.793795		25.832		18.961962		16.92986		120.927		184.598		67.693		43.763		13.006006	
69.497		73.33133		87.684685		175.15515		76.58258		26.92993		25.956		19.094093		17.042084		121.522		185.036		68.124		44.105		13.082082	
69.864		73.742744		88.06606		176.38039		76.72673		27.033033		26.094		19.162163		17.11423		121.8		185.498		68.371		44.376		13.136136	
70.215		74.0971		88.9009		177.15315		76.81982		27.169168		26.223		19.34034		17.196392		122.529		185.735		68.461		44.573		13.235235	
70.509		74.57458		89.431435		177.05606		76.955956		27.398397		26.261		19.413414		17.288578		122.811		186.06		68.745		44.811		13.378378	
70.798		74.762764		89.985985		178.57658		76.713715		27.484484		26.412		19.541542		17.398798		123.571		186.262		69.075		44.873		13.421421	
